lon,lat
237.412917,47.9125
237.382833,47.926639
237.386639,47.942056
237.411611,47.922083
237.475389,47.912472
237.493694,47.834139
237.517889,47.813333
237.49366700000002,47.796639
237.529556,47.756667
237.512472,47.743722
237.44827800000002,47.746222
237.41,47.690417
237.345361,47.744167
237.360389,47.700806
237.38458300000002,47.700861
237.407028,47.593306
237.389111,47.567889
237.355028,47.58375
237.3075,47.64875
237.290389,47.614167
237.312833,47.608333
237.315361,47.576667
237.332444,47.604556
237.3375,47.580389
237.345,47.58875
237.37788899999998,47.570833
237.306222,47.529167
237.393278,47.548722
237.44827800000002,47.590389
237.448722,47.57
237.46783299999998,47.565806
237.454583,47.524944
237.505417,47.511667
237.469528,47.469972
237.447,47.397444
237.461194,47.375
237.42825,47.326222
237.40866699999998,47.336639
237.452056,47.288306
237.422935,47.256741
237.39020499999998,47.299389
237.400131,47.272099
237.30442,47.286034
237.323364,47.321732
237.349693,47.329018
237.330513,47.344002
237.377693,47.372902
237.37328300000001,47.409409
237.371078,47.381516
237.26755500000002,47.344906
237.232437,47.269688
237.254005,47.274155
237.24439999999998,47.257504
237.262672,47.266335
237.272209,47.246159
237.28334,47.251247
237.28218800000002,47.223003
237.257011,47.207909
237.252632,47.224869
237.25419599999998,47.179684
237.231071,47.168358
237.169174,47.245373
237.217567,47.313683
237.21005200000002,47.338078
237.235191,47.342072
237.206596,47.345634
237.217926,47.367325
237.19492300000002,47.357708
237.17328600000002,47.405373
237.167732,47.329449
237.074615,47.281178
237.06667299999998,47.206161
236.930656,47.211419
236.96968800000002,47.22234
236.952774,47.23484
236.983337,47.261883
236.905647,47.212521
237.061935,47.199894
237.037071,47.16943
236.91272700000002,47.135067
236.98344400000002,47.152878
236.979576,47.123592
236.940147,47.120026
236.915077,47.097317
236.971794,47.1092
237.003036,47.148129
237.021759,47.138924
237.06253800000002,47.188908
237.07962,47.159451
237.04423500000001,47.13623
237.044876,47.107407
237.013191,47.105324
236.98531300000002,47.067307
237.009918,47.036366
236.993713,47.071522
237.05419899999998,47.097313
237.07484399999998,47.149296
237.06582600000002,47.083439
237.092201,47.046513
237.09598499999998,47.059891
237.107124,47.049099
237.101692,47.146687
237.159706,47.165337
237.144554,47.138863
237.161613,47.134789
237.14208200000002,47.123425
237.159744,47.130913
237.17604799999998,47.097214
237.186363,47.179646
237.215576,47.128956
237.273834,47.102486
237.269905,47.081345
237.282173,47.100163
237.31002,47.102757
237.309013,47.087543
237.413368,47.183033
237.468694,47.284167
237.452444,47.319556
237.566667,47.256194
237.569083,47.270417
237.578306,47.262944
237.589139,47.283722
237.603722,47.280806
237.555778,47.30625
237.67374999999998,47.348306
237.672056,47.399167
237.643278,47.442056
237.617028,47.450833
237.638722,47.483278
237.60125,47.515833
237.577889,47.575833
237.615778,47.596194
237.639944,47.57625
237.654111,47.59125
237.655778,47.57375
237.66033299999998,47.6
237.562444,47.662917
237.59,47.6729
237.65847,47.643818
237.662567,47.627884
237.68045,47.64193
237.723663,47.643597
237.715553,47.583279
237.742004,47.553288
237.754776,47.557877
237.739372,47.522213
237.799026,47.506672
237.812721,47.578831
237.757507,47.626133
237.761337,47.646915
237.796661,47.65173
237.789558,47.700642
237.742523,47.714458
237.73350499999998,47.738678
237.750816,47.75499
237.71687300000002,47.73745
237.730598,47.695122
237.75680499999999,47.682648
237.72697399999998,47.648373
237.666458,47.644997
237.589583,47.677528
237.622861,47.718306
237.60536100000002,47.806694
237.662083,47.850806
237.69325,47.950389
237.76325,47.967083
237.784833,48.017028
237.82197200000002,48.00575
237.79108300000001,48.022417
237.794028,48.0445
237.756528,48.032028
237.65449999999998,48.099083
237.629444,48.13575
237.644444,48.187417
237.618222,48.232
237.549833,48.232861
237.558639,48.209111
237.541556,48.193667
237.523222,48.205333
237.521139,48.177417
237.6415,48.057
237.61152800000002,48.063667
237.531583,48.130361
237.506583,48.121139
237.48902800000002,48.132028
237.46111100000002,48.183278
237.465306,48.247417
237.517361,48.252833
237.54075,48.271194
237.604056,48.247861
237.61775,48.314917
237.60572200000001,48.308694
237.611556,48.317861
237.521056,48.358278
237.553167,48.360361
237.499028,48.381167
237.492333,48.372
237.5015,48.390361
237.489806,48.371167
237.46569399999998,48.374528
237.44447200000002,48.419111
237.427778,48.41825
237.450667,48.452833
237.385694,48.413667
237.343222,48.407861
237.322722,48.426611
237.34105599999998,48.472417
237.29697199999998,48.49825
237.385694,48.522833
237.415639,48.465306
237.41863899999998,48.492444
237.441472,48.501139
237.484861,48.452833
237.48399999999998,48.463667
237.526167,48.459889
237.498639,48.559083
237.437806,48.582389
237.503194,48.576194
237.50733300000002,48.562
237.539917,48.556139
237.53116699999998,48.567444
237.54825,48.562833
237.572,48.594889
237.487778,48.665722
237.508611,48.674083
237.47858300000001,48.71575
237.508583,48.752417
237.423222,48.782
237.349111,48.715361
237.32572199999998,48.731194
237.352444,48.784528
237.297361,48.803639
237.28572200000002,48.788694
237.280278,48.849889
237.20358299999998,48.894111
237.244917,48.911167
237.249417,48.931583
237.174444,48.944944
237.223167,48.991972
237.209472,48.977444
237.224028,48.967806
237.26655599999998,48.958694
237.268639,48.97325
237.226639,49.009611
237.125,49.027056
237.110389,49.057472
237.140389,49.066639
237.136639,49.087889
237.099111,49.089583
236.955778,49.048778
236.942083,49.025
236.974028,48.974556
236.913194,48.971139
236.89908300000002,49.024583
236.86997200000002,49.007917
236.901167,49.03
236.88577800000002,49.050444
236.838667,49.017472
236.877944,49.053333
236.845389,49.066667
236.86997200000002,49.079556
236.83325000000002,49.077917
236.81288899999998,49.109167
236.87408299999998,49.083722
236.924611,49.114944
236.91075,49.124556
236.855778,49.112083
236.803333,49.127889
236.798667,49.174944
236.84625,49.179139
236.791639,49.18875
236.791639,49.21625
236.73119400000002,49.205833
236.786583,49.217889
236.766639,49.232917
236.847028,49.210833
236.746667,49.250417
236.734528,49.269194
